date,route,ridership
2020-01-01,Ampang Line,121747.0
2020-01-02,Ampang Line,190649.0
2020-01-03,Ampang Line,201790.0
2020-01-04,Ampang Line,124779.0
2020-01-05,Ampang Line,106788.0
2020-01-06,Ampang Line,206219.0
2020-01-07,Ampang Line,207455.0
2020-01-08,Ampang Line,209607.0
2020-01-09,Ampang Line,210306.0
2020-01-10,Ampang Line,223495.0
2020-01-11,Ampang Line,135136.0
2020-01-12,Ampang Line,114429.0
2020-01-13,Ampang Line,211032.0
2020-01-14,Ampang Line,209704.0
2020-01-15,Ampang Line,208418.0
2020-01-16,Ampang Line,213161.0
2020-01-17,Ampang Line,224279.0
2020-01-18,Ampang Line,140721.0
2020-01-19,Ampang Line,113073.0
2020-01-20,Ampang Line,211886.0
2020-01-21,Ampang Line,210979.0
2020-01-22,Ampang Line,217668.0
2020-01-23,Ampang Line,204178.0
2020-01-24,Ampang Line,171416.0
2020-01-25,Ampang Line,108129.0
2020-01-26,Ampang Line,98225.0
2020-01-27,Ampang Line,99186.0
2020-01-28,Ampang Line,157878.0
2020-01-29,Ampang Line,164411.0
2020-01-30,Ampang Line,182480.0
2020-01-31,Ampang Line,190294.0
2020-02-01,Ampang Line,107899.0
2020-02-02,Ampang Line,100012.0
2020-02-03,Ampang Line,200007.0
2020-02-04,Ampang Line,202182.0
2020-02-05,Ampang Line,203820.0
2020-02-06,Ampang Line,207245.0
2020-02-07,Ampang Line,216633.0
2020-02-08,Ampang Line,117586.0
2020-02-09,Ampang Line,110719.0
2020-02-10,Ampang Line,204497.0
2020-02-11,Ampang Line,203530.0
2020-02-12,Ampang Line,204706.0
2020-02-13,Ampang Line,205583.0
2020-02-14,Ampang Line,220430.0
2020-02-15,Ampang Line,125749.0
2020-02-16,Ampang Line,105583.0
2020-02-17,Ampang Line,203720.0
2020-02-18,Ampang Line,201615.0
2020-02-19,Ampang Line,203991.0
2020-02-20,Ampang Line,206536.0
2020-02-21,Ampang Line,218057.0
2020-02-22,Ampang Line,127509.0
2020-02-23,Ampang Line,102108.0
2020-02-24,Ampang Line,200512.0
2020-02-25,Ampang Line,201721.0
2020-02-26,Ampang Line,202457.0
2020-02-27,Ampang Line,204757.0
2020-02-28,Ampang Line,220077.0
2020-02-29,Ampang Line,132066.0
2020-03-01,Ampang Line,112593.0
2020-03-02,Ampang Line,205190.0
2020-03-03,Ampang Line,204296.0
2020-03-04,Ampang Line,205303.0
2020-03-05,Ampang Line,204795.0
2020-03-06,Ampang Line,216070.0
2020-03-07,Ampang Line,123769.0
2020-03-08,Ampang Line,106171.0
2020-03-09,Ampang Line,198406.0
2020-03-10,Ampang Line,197495.0
2020-03-11,Ampang Line,195238.0
2020-03-12,Ampang Line,192315.0
2020-03-13,Ampang Line,200794.0
2020-03-14,Ampang Line,101154.0
2020-03-15,Ampang Line,85059.0
2020-03-16,Ampang Line,162415.0
2020-03-17,Ampang Line,148840.0
2020-03-18,Ampang Line,59073.0
2020-03-19,Ampang Line,41991.0
2020-03-20,Ampang Line,31881.0
2020-03-21,Ampang Line,15277.0
2020-03-22,Ampang Line,9517.0
2020-03-23,Ampang Line,19924.0
2020-03-24,Ampang Line,17793.0
2020-03-25,Ampang Line,14756.0
2020-03-26,Ampang Line,15240.0
2020-03-27,Ampang Line,14928.0
2020-03-28,Ampang Line,7878.0
2020-03-29,Ampang Line,6587.0
2020-03-30,Ampang Line,15054.0
2020-03-31,Ampang Line,14975.0
2020-04-01,Ampang Line,15471.0
2020-04-02,Ampang Line,14667.0
2020-04-03,Ampang Line,14803.0
2020-04-04,Ampang Line,7979.0
2020-04-05,Ampang Line,6606.0
2020-04-06,Ampang Line,15174.0
2020-04-07,Ampang Line,14489.0
2020-04-08,Ampang Line,14509.0
2020-04-09,Ampang Line,14775.0
2020-04-10,Ampang Line,14377.0
2020-04-11,Ampang Line,8532.0
2020-04-12,Ampang Line,6758.0
2020-04-13,Ampang Line,15916.0
2020-04-14,Ampang Line,15412.0
2020-04-15,Ampang Line,14931.0
2020-04-16,Ampang Line,14662.0
2020-04-17,Ampang Line,14683.0
2020-04-18,Ampang Line,8325.0
2020-04-19,Ampang Line,6801.0
2020-04-20,Ampang Line,15538.0
2020-04-21,Ampang Line,14961.0
2020-04-22,Ampang Line,14635.0
2020-04-23,Ampang Line,15360.0
2020-04-24,Ampang Line,14413.0
2020-04-25,Ampang Line,8429.0
2020-04-26,Ampang Line,7012.0
2020-04-27,Ampang Line,15923.0
2020-04-28,Ampang Line,15671.0
2020-04-29,Ampang Line,16596.0
2020-04-30,Ampang Line,16763.0
2020-05-01,Ampang Line,8492.0
2020-05-02,Ampang Line,10159.0
2020-05-03,Ampang Line,8418.0
2020-05-04,Ampang Line,39175.0
2020-05-05,Ampang Line,40157.0
2020-05-06,Ampang Line,42038.0
2020-05-07,Ampang Line,23228.0
2020-05-08,Ampang Line,42457.0
2020-05-09,Ampang Line,27820.0
2020-05-10,Ampang Line,21943.0
2020-05-11,Ampang Line,28026.0
2020-05-12,Ampang Line,48547.0
2020-05-13,Ampang Line,52390.0
2020-05-14,Ampang Line,54442.0
2020-05-15,Ampang Line,53010.0
2020-05-16,Ampang Line,32504.0
2020-05-17,Ampang Line,26405.0
2020-05-18,Ampang Line,57398.0
2020-05-19,Ampang Line,57100.0
2020-05-20,Ampang Line,58041.0
2020-05-21,Ampang Line,58193.0
2020-05-22,Ampang Line,56323.0
2020-05-23,Ampang Line,35883.0
2020-05-24,Ampang Line,23328.0
2020-05-25,Ampang Line,25645.0
2020-05-26,Ampang Line,28820.0
2020-05-27,Ampang Line,54785.0
2020-05-28,Ampang Line,58453.0
2020-05-29,Ampang Line,59467.0
2020-05-30,Ampang Line,40861.0
2020-05-31,Ampang Line,31986.0
2020-06-01,Ampang Line,70434.0
2020-06-02,Ampang Line,70009.0
2020-06-03,Ampang Line,71051.0
2020-06-04,Ampang Line,70016.0
2020-06-05,Ampang Line,71256.0
2020-06-06,Ampang Line,46361.0
2020-06-07,Ampang Line,36592.0
2020-06-08,Ampang Line,38078.0
2020-06-09,Ampang Line,78599.0
2020-06-10,Ampang Line,85911.0
2020-06-11,Ampang Line,86571.0
2020-06-12,Ampang Line,85854.0
2020-06-13,Ampang Line,55758.0
2020-06-14,Ampang Line,44432.0
2020-06-15,Ampang Line,91983.0
2020-06-16,Ampang Line,92978.0
2020-06-17,Ampang Line,93790.0
2020-06-18,Ampang Line,93709.0
2020-06-19,Ampang Line,92661.0
2020-06-20,Ampang Line,59646.0
2020-06-21,Ampang Line,48408.0
2020-06-22,Ampang Line,95602.0
2020-06-23,Ampang Line,96965.0
2020-06-24,Ampang Line,98252.0
2020-06-25,Ampang Line,99679.0
2020-06-26,Ampang Line,100834.0
2020-06-27,Ampang Line,64585.0
2020-06-28,Ampang Line,52782.0
2020-06-29,Ampang Line,101305.0
2020-06-30,Ampang Line,103419.0
2020-07-01,Ampang Line,108931.0
2020-07-02,Ampang Line,108173.0
2020-07-03,Ampang Line,111362.0
2020-07-04,Ampang Line,73060.0
2020-07-05,Ampang Line,60501.0
2020-07-06,Ampang Line,110965.0
2020-07-07,Ampang Line,112296.0
2020-07-08,Ampang Line,114968.0
2020-07-09,Ampang Line,113915.0
2020-07-10,Ampang Line,117243.0
2020-07-11,Ampang Line,75621.0
2020-07-12,Ampang Line,63671.0
2020-07-13,Ampang Line,114847.0
2020-07-14,Ampang Line,117030.0
2020-07-15,Ampang Line,120269.0
2020-07-16,Ampang Line,119408.0
2020-07-17,Ampang Line,124328.0
2020-07-18,Ampang Line,75319.0
2020-07-19,Ampang Line,63245.0
2020-07-20,Ampang Line,121196.0
2020-07-21,Ampang Line,121055.0
2020-07-22,Ampang Line,122706.0
2020-07-23,Ampang Line,122908.0
2020-07-24,Ampang Line,128049.0
2020-07-25,Ampang Line,77662.0
2020-07-26,Ampang Line,64106.0
2020-07-27,Ampang Line,122609.0
2020-07-28,Ampang Line,123520.0
2020-07-29,Ampang Line,123754.0
2020-07-30,Ampang Line,109217.0
2020-07-31,Ampang Line,54012.0
2020-08-01,Ampang Line,61187.0
2020-08-02,Ampang Line,58237.0
2020-08-03,Ampang Line,110211.0
2020-08-04,Ampang Line,118794.0
2020-08-05,Ampang Line,123331.0
2020-08-06,Ampang Line,123243.0
2020-08-07,Ampang Line,126595.0
2020-08-08,Ampang Line,77945.0
2020-08-09,Ampang Line,64446.0
2020-08-10,Ampang Line,124017.0
2020-08-11,Ampang Line,124860.0
2020-08-12,Ampang Line,126395.0
2020-08-13,Ampang Line,126375.0
2020-08-14,Ampang Line,129716.0
2020-08-15,Ampang Line,77410.0
2020-08-16,Ampang Line,62279.0
2020-08-17,Ampang Line,126989.0
2020-08-18,Ampang Line,127413.0
2020-08-19,Ampang Line,131501.0
2020-08-20,Ampang Line,69219.0
2020-08-21,Ampang Line,117965.0
2020-08-22,Ampang Line,77750.0
2020-08-23,Ampang Line,63348.0
2020-08-24,Ampang Line,123572.0
2020-08-25,Ampang Line,129303.0
2020-08-26,Ampang Line,130181.0
2020-08-27,Ampang Line,129095.0
2020-08-28,Ampang Line,135002.0
2020-08-29,Ampang Line,83422.0
2020-08-30,Ampang Line,73928.0
2020-08-31,Ampang Line,74161.0
2020-09-01,Ampang Line,128470.0
2020-09-02,Ampang Line,132587.0
2020-09-03,Ampang Line,133597.0
2020-09-04,Ampang Line,137896.0
2020-09-05,Ampang Line,83979.0
2020-09-06,Ampang Line,69308.0
2020-09-07,Ampang Line,132582.0
2020-09-08,Ampang Line,136666.0
2020-09-09,Ampang Line,136409.0
2020-09-10,Ampang Line,138544.0
2020-09-11,Ampang Line,142576.0
2020-09-12,Ampang Line,86100.0
2020-09-13,Ampang Line,69505.0
2020-09-14,Ampang Line,133324.0
2020-09-15,Ampang Line,137106.0
2020-09-16,Ampang Line,72910.0
2020-09-17,Ampang Line,134286.0
2020-09-18,Ampang Line,137233.0
2020-09-19,Ampang Line,83328.0
2020-09-20,Ampang Line,65541.0
2020-09-21,Ampang Line,136657.0
2020-09-22,Ampang Line,138015.0
2020-09-23,Ampang Line,139484.0
2020-09-24,Ampang Line,140023.0
2020-09-25,Ampang Line,142864.0
