month,route_line,ridership
2019-01,KL Monorail,978364.0
2019-01,KTM,0.0
2019-01,LRT Ampang/Sri Petaling Line,5363000.0
2019-01,LRT Kelana Jaya Line,7900483.0
2019-01,MRT Kajang Line,5206125.0
2019-01,MRT Putrajaya Line,0.0
2019-02,KL Monorail,857334.0
2019-02,KTM,0.0
2019-02,LRT Ampang/Sri Petaling Line,4454115.0
2019-02,LRT Kelana Jaya Line,6523515.0
2019-02,MRT Kajang Line,4319140.0
2019-02,MRT Putrajaya Line,0.0
2019-03,KL Monorail,1018990.0
2019-03,KTM,0.0
2019-03,LRT Ampang/Sri Petaling Line,5617697.0
2019-03,LRT Kelana Jaya Line,8127743.0
2019-03,MRT Kajang Line,5393067.0
2019-03,MRT Putrajaya Line,0.0
2019-04,KL Monorail,999786.0
2019-04,KTM,0.0
2019-04,LRT Ampang/Sri Petaling Line,5571821.0
2019-04,LRT Kelana Jaya Line,8189219.0
2019-04,MRT Kajang Line,5294479.0
2019-04,MRT Putrajaya Line,0.0
2019-05,KL Monorail,935505.0
2019-05,KTM,0.0
2019-05,LRT Ampang/Sri Petaling Line,5458497.0
2019-05,LRT Kelana Jaya Line,7746135.0
2019-05,MRT Kajang Line,5155333.0
2019-05,MRT Putrajaya Line,0.0
2019-06,KL Monorail,918356.0
2019-06,KTM,0.0
2019-06,LRT Ampang/Sri Petaling Line,4906864.0
2019-06,LRT Kelana Jaya Line,7000564.0
2019-06,MRT Kajang Line,4793691.0
2019-06,MRT Putrajaya Line,0.0
2019-07,KL Monorail,1034805.0
2019-07,KTM,0.0
2019-07,LRT Ampang/Sri Petaling Line,5757222.0
2019-07,LRT Kelana Jaya Line,8515230.0
2019-07,MRT Kajang Line,5729242.0
2019-07,MRT Putrajaya Line,0.0
2019-08,KL Monorail,1049288.0
2019-08,KTM,0.0
2019-08,LRT Ampang/Sri Petaling Line,5577557.0
2019-08,LRT Kelana Jaya Line,8237693.0
2019-08,MRT Kajang Line,5556259.0
2019-08,MRT Putrajaya Line,0.0
2019-09,KL Monorail,993359.0
2019-09,KTM,0.0
2019-09,LRT Ampang/Sri Petaling Line,5182224.0
2019-09,LRT Kelana Jaya Line,7371250.0
2019-09,MRT Kajang Line,5084785.0
2019-09,MRT Putrajaya Line,0.0
2019-10,KL Monorail,1170952.0
2019-10,KTM,0.0
2019-10,LRT Ampang/Sri Petaling Line,5816211.0
2019-10,LRT Kelana Jaya Line,8571260.0
2019-10,MRT Kajang Line,5870709.0
2019-10,MRT Putrajaya Line,0.0
2019-11,KL Monorail,1205397.0
2019-11,KTM,0.0
2019-11,LRT Ampang/Sri Petaling Line,5735068.0
2019-11,LRT Kelana Jaya Line,8281889.0
2019-11,MRT Kajang Line,5715953.0
2019-11,MRT Putrajaya Line,0.0
2019-12,KL Monorail,1373602.0
2019-12,KTM,0.0
2019-12,LRT Ampang/Sri Petaling Line,5706946.0
2019-12,LRT Kelana Jaya Line,8192993.0
2019-12,MRT Kajang Line,5834022.0
2019-12,MRT Putrajaya Line,0.0
2020-01,KL Monorail,1216758.0
2020-01,KTM,0.0
2020-01,LRT Ampang/Sri Petaling Line,5389518.0
2020-01,LRT Kelana Jaya Line,7895017.0
2020-01,MRT Kajang Line,5576657.0
2020-01,MRT Putrajaya Line,0.0
2020-02,KL Monorail,1085541.0
2020-02,KTM,0.0
2020-02,LRT Ampang/Sri Petaling Line,5161307.0
2020-02,LRT Kelana Jaya Line,7628423.0
2020-02,MRT Kajang Line,5318955.0
2020-02,MRT Putrajaya Line,0.0
2020-03,KL Monorail,626524.0
2020-03,KTM,0.0
2020-03,LRT Ampang/Sri Petaling Line,3144777.0
2020-03,LRT Kelana Jaya Line,4465478.0
2020-03,MRT Kajang Line,3078103.0
2020-03,MRT Putrajaya Line,0.0
2020-04,KL Monorail,72630.0
2020-04,KTM,0.0
2020-04,LRT Ampang/Sri Petaling Line,394171.0
2020-04,LRT Kelana Jaya Line,477372.0
2020-04,MRT Kajang Line,309718.0
2020-04,MRT Putrajaya Line,0.0
2020-05,KL Monorail,239120.0
2020-05,KTM,0.0
2020-05,LRT Ampang/Sri Petaling Line,1205494.0
2020-05,LRT Kelana Jaya Line,1332920.0
2020-05,MRT Kajang Line,1022762.0
2020-05,MRT Putrajaya Line,0.0
2020-06,KL Monorail,462853.0
2020-06,KTM,0.0
2020-06,LRT Ampang/Sri Petaling Line,2297520.0
2020-06,LRT Kelana Jaya Line,2763468.0
2020-06,MRT Kajang Line,2074057.0
2020-06,MRT Putrajaya Line,0.0
2020-07,KL Monorail,652916.0
2020-07,KTM,0.0
2020-07,LRT Ampang/Sri Petaling Line,3195946.0
2020-07,LRT Kelana Jaya Line,4037258.0
2020-07,MRT Kajang Line,3033868.0
2020-07,MRT Putrajaya Line,0.0
2020-08,KL Monorail,659168.0
2020-08,KTM,0.0
2020-08,LRT Ampang/Sri Petaling Line,3227890.0
2020-08,LRT Kelana Jaya Line,4047143.0
2020-08,MRT Kajang Line,3097549.0
2020-08,MRT Putrajaya Line,0.0
2020-09,KL Monorail,709460.0
2020-09,KTM,0.0
2020-09,LRT Ampang/Sri Petaling Line,3549250.0
2020-09,LRT Kelana Jaya Line,4574478.0
2020-09,MRT Kajang Line,3476687.0
2020-09,MRT Putrajaya Line,0.0
2020-10,KL Monorail,501175.0
2020-10,KTM,105383.0
2020-10,LRT Ampang/Sri Petaling Line,2592837.0
2020-10,LRT Kelana Jaya Line,2976066.0
2020-10,MRT Kajang Line,2250818.0
2020-10,MRT Putrajaya Line,0.0
2020-11,KL Monorail,432777.0
2020-11,KTM,145282.0
2020-11,LRT Ampang/Sri Petaling Line,2126946.0
2020-11,LRT Kelana Jaya Line,2362797.0
2020-11,MRT Kajang Line,1794618.0
2020-11,MRT Putrajaya Line,0.0
2020-12,KL Monorail,484612.0
2020-12,KTM,286266.0
2020-12,LRT Ampang/Sri Petaling Line,2429909.0
2020-12,LRT Kelana Jaya Line,2746762.0
2020-12,MRT Kajang Line,2134543.0
2020-12,MRT Putrajaya Line,0.0
2021-01,KL Monorail,352306.0
2021-01,KTM,173105.0
2021-01,LRT Ampang/Sri Petaling Line,1824666.0
2021-01,LRT Kelana Jaya Line,1980365.0
2021-01,MRT Kajang Line,1510475.0
2021-01,MRT Putrajaya Line,0.0
2021-02,KL Monorail,312303.0
2021-02,KTM,94131.0
2021-02,LRT Ampang/Sri Petaling Line,1698744.0
2021-02,LRT Kelana Jaya Line,1824987.0
2021-02,MRT Kajang Line,1423721.0
2021-02,MRT Putrajaya Line,0.0
2021-03,KL Monorail,502882.0
2021-03,KTM,192354.0
2021-03,LRT Ampang/Sri Petaling Line,2601245.0
2021-03,LRT Kelana Jaya Line,3033861.0
2021-03,MRT Kajang Line,2435248.0
2021-03,MRT Putrajaya Line,0.0
2021-04,KL Monorail,523031.0
2021-04,KTM,203922.0
2021-04,LRT Ampang/Sri Petaling Line,2705960.0
2021-04,LRT Kelana Jaya Line,3266042.0
2021-04,MRT Kajang Line,2609911.0
2021-04,MRT Putrajaya Line,0.0
2021-05,KL Monorail,320320.0
2021-05,KTM,109177.0
2021-05,LRT Ampang/Sri Petaling Line,1799251.0
2021-05,LRT Kelana Jaya Line,1904752.0
2021-05,MRT Kajang Line,1524387.0
2021-05,MRT Putrajaya Line,0.0
2021-06,KL Monorail,125639.0
2021-06,KTM,33226.0
2021-06,LRT Ampang/Sri Petaling Line,731375.0
2021-06,LRT Kelana Jaya Line,833847.0
2021-06,MRT Kajang Line,580487.0
2021-06,MRT Putrajaya Line,0.0
2021-07,KL Monorail,137369.0
2021-07,KTM,48590.0
2021-07,LRT Ampang/Sri Petaling Line,824844.0
2021-07,LRT Kelana Jaya Line,897012.0
